XS0
XS0R0S1
XS0R0S1R1S0
XS0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1
XS0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0R0S1R1S0
